fid,Schad_X207,Schad_X208,Schad_X265,Schad_X209,C29_1394_2,Schad_2469,Typ_X210,X_210,X_207,X_208,X_209,VII_2469,X_265,C29_1394,str_inter,Ottawa
7235,nicht kartiert,Totalschaden neu,Provisorium,nicht kartiert,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{Provisorium},,,Totale Schäden
7236,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7237,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7238,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7239,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
7240,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7241,Totalschaden neu,Totalschaden alt,Über 60% zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{über 60% zerstört},,,Totale Schäden
7242,nicht kartiert,nicht kartiert,Mehr als 10% zerstört,nicht kartiert,nicht kartiert,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{mehr als 10% zerstört},,,
7243,Totalschaden neu,Totalschaden alt,Mehr als 10% zerstört,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{mehr als 10% zerstört},,,leichte u.mittlere Schäden
7244,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
7245,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7246,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7247,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7248,schwerer Schaden neu,schwerer Schaden alt,Total zerstört,schwerer Schaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden neu},{Schwerer Schaden alt},{Schwerer Schaden neu},{total beschädigt},{total zerstört},,,Totale Schäden
7249,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,nicht kartiert,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},,{total zerstört},,,
7250,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7251,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
