fid,Schad_X207,Schad_X208,Schad_X265,Schad_X209,C29_1394_2,Schad_2469,Typ_X210,X_210,X_207,X_208,X_209,VII_2469,X_265,C29_1394,str_inter,Ottawa
2146,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2147,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2148,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2149,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2150,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2151,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},,{total zerstört},,,
2152,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2153,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2154,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2155,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2156,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2157,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2158,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2159,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2160,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2161,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2162,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2163,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2164,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2165,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2166,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},,{total zerstört},,,
2167,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvollste Gebäude,{Historisch wertvollste Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2168,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
2169,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvollste Gebäude,{Historisch wertvollste Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2170,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2171,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2172,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2173,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2174,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2175,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2176,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",historisch wertvollste Gebäude,{Historisch wertvollste Gebäude},{Totalschaden neu},{Totalschaden alt},"{Totalschaden alt, Totalschaden neu}","{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
2177,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2178,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2179,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2180,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2181,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2182,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2183,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
2184,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
2185,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2186,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2187,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2188,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2189,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2190,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2191,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2192,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2193,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2194,schwerer Schaden neu,Totalschaden alt,Total zerstört,schwerer Schaden neu,nicht kartiert,"ausgebrannt, Außenmauerteile leicht beschädigt",grau,{grau},{Schwerer Schaden neu},{Totalschaden alt},{Schwerer Schaden neu},"{total beschädigt, schwer beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt}",{total zerstört},,1,
2195,schwerer Schaden neu,Totalschaden alt,Total zerstört,schwerer Schaden neu,nicht kartiert,"ausgebrannt, Außenmauerteile leicht beschädigt",grau,{grau},{Schwerer Schaden neu},{Totalschaden alt},{Schwerer Schaden neu},"{total beschädigt, schwer beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt}",{total zerstört},,1,
2196,schwerer Schaden neu,Totalschaden alt,Total zerstört,schwerer Schaden neu,nicht kartiert,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Schwerer Schaden neu},{Totalschaden alt},{Schwerer Schaden neu},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{total zerstört},,1,
2197,schwerer Schaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,nicht kartiert,grau,{grau},{Schwerer Schaden neu},{Totalschaden alt},{nicht kartiert},,{total zerstört},,1,
2198,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
2199,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2200,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2201,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2202,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2203,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
2204,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2205,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2206,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2207,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2208,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2209,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2210,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2211,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2212,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2213,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2214,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden neu,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},,{total zerstört},,,
2215,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2216,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2217,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2218,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2219,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2220,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2221,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2222,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2223,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2224,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2225,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2226,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2227,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2228,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2229,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2230,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden alt,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2231,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,1,
2232,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2233,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2234,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2235,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2236,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2237,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2238,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2239,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2240,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2241,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2242,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2243,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2244,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2245,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{total zerstört},,,
2246,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{total zerstört},,,
2247,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{total zerstört},,,
2248,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2249,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},"{Totalschaden alt, Schwerer Schaden alt}",{nicht kartiert},{total beschädigt},{total zerstört},,,
2250,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2251,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2252,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2253,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2254,Totalschaden neu,nicht kartiert,Unbeschädigt,Totalschaden neu,nicht kartiert,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},{leicht und mittel beschädigt},{unbeschädigt},,,
2255,Totalschaden neu,nicht kartiert,Unbeschädigt,Totalschaden neu,nicht kartiert,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},{leicht und mittel beschädigt},{unbeschädigt},,,
2256,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, schwer beschädigt}",{wieder aufgebaut},,,
2257,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{wieder aufgebaut},,,
2258,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2259,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2260,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2261,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2262,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2263,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
2264,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,nicht kartiert,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{wieder aufgebaut},,,
2265,Totalschaden neu,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
2266,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
2267,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
